Galaxy Type N_GC N_GC_err Mdyn MBH sig_e err_sig_e A_V MV_T err_MV_T MK Re upMBH lowMBH
NGC1407        E               7000           2000          11.850         NA             270.6           6.1           0.228          -22.86         0.35           -25.623        10.38          NA             NA            
FCC-238        E                  2              2          NA             NA             NA             NA             0.025          -13.47         0.20           nd             nd             NA             NA            
FCC-242        E                  0              3          NA             NA             NA             NA             0.039          -14.37         0.20           nd             nd             NA             NA            
FCC-246        E                  0              3          NA             NA             NA             NA             0.031          -13.07         0.20           nd             nd             NA             NA            
NGC1419        E                155             50          10.062         NA             120.8           2.8           0.043          -18.97         0.22           -21.640        0.85           NA             NA            
FCC-254        E                  6              5          NA             NA             NA             NA             0.028          -14.57         0.20           nd             nd             NA             NA            
ESO-358-G50    S0                80             25           9.430         NA              48.2           7.9           0.016          -18.59         0.20           -21.071        1.25           NA             NA            
NGC1427        E                500             60          10.862         NA             162.1           3.5           0.037          -20.74         0.24           -23.426        2.98           NA             NA            
NGC1428        E                 42             13           9.751         NA              81.7          10.5           0.028          -18.70         0.20           999999         0.91           NA             NA            
NGC1426        E                240             20          10.801         NA             150.5           2.2           0.055          -20.58         0.24           -23.245        3.00           NA             NA            
ESO-358-G56    S0                17              6           9.307         NA              48.0           3.0           0.016          -16.96         0.20           -18.967        0.95           NA             NA            
NGC1439        E                260             30          10.972         NA             150.2           5.4           0.099          -20.84         0.20           -23.570        4.46           NA             NA            
ESO-358-G59    E                 21              7           9.284         NA              46.7           1.6           0.025          -18.49         0.20           -21.001        0.95           NA             NA            
FCC-303        E                 22              7          NA             NA              27.0          11.0           0.029          -17.36         0.20           -17.432        nd             NA             NA            
NGC1460        S0                39             12           9.815         NA              60.4           7.2           0.030          -18.90         0.20           -21.542        1.92           NA             NA            
FCC-316        E                 21              7          NA             NA             NA             NA             0.030          -15.47         0.20           nd             nd             NA             NA            
ESO-358-G66    S0                21              7          NA             NA             NA             NA             0.026          -17.22         0.20           -18.314        1.82           NA             NA            
ESO-359-G02    E                 14              5           9.626         NA              53.5           2.6           0.040          -18.18         0.20           -20.176        1.59           NA             NA            
NGC1483        S                  5              4          NA             NA             NA             NA             0.023          -18.32         0.20           -20.397        1.66           NA             NA            
IC2006         E                132             40          10.531         NA             123.7           2.3           0.030          -20.27         0.20           -23.052        2.38           NA             NA            
UGCA-86        Irr               11              4          NA             NA             NA             NA             2.583          -16.13         0.20           -14.510        nd             NA             NA            
IC2035         E                 55             10           9.838         NA             106.7           2.3           0.037          -19.71         0.20           -22.724        0.65           NA             NA            
NGC1533        E                250             30          11.003         NA             185.4           4.9           0.051          -20.98         0.54           -24.031        3.15           NA             NA            
NGC1549        E                140             60          11.258         NA             202.3           4.0           0.042          -21.72         0.27           -24.691        4.76           NA             NA            
NGC1553        S0               540            160          11.177         NA             177.2           4.3           0.044          -21.98         0.26           -25.064        5.15           NA             NA            
NGC1581        E                  4              4          NA             NA             NA             NA             0.024          -18.96         0.30           -21.944        1.15           NA             NA            
NGC1600        E               2850            500          12.179         NA             334.3           7.2           0.147          -23.33         0.20           -26.073        14.53          NA             NA            
UGCA-92        Irr                2              2          NA             NA             NA             NA             2.173          -14.71         0.20           nd             1.01           NA             NA            
